file_num,file_name
10268,딱지본완
10269,송기주타자기완
1026,혁신정당
10270,애틀란틱배런호
10271,가족계획포스터외산아제한
10272,임신안하는해포스터설명
10273,청계천피복공장
10274,컬러텔레비전컬러방송시작
10275,음악다방-세시봉안내지
10276,입장권
10277,희망곡신청용지
10278,장발
10279,미니스커트단속-바리캉과가위
1027,혁명정부
10280,미니스커트
10281,공병우타자기완
10282,한글
10283,세종어제서문완
10284,훈민정음과훈민정음완
10285,안정이냐혼란이냐우리는왜삼선개헌을반대하는가
10286,납석반가사유상
10287,백자벼루
10288,부여석조
10289,한국식동검
1028,혁명운동
10290,검은간토기
10291,용비어천가완
10292,월인석보완
10293,법화경언해
10294,소학언해
10295,훈몽자회완
10296,쇠도끼와쇠끌
10297,새모양토기
10298,둥근고리자루큰칼
10299,부소산성의무기류
1029,혁명당
102,#NAME?
10300,능산리고분군의벽화
10301,10.17대통령특별선언유신선포
10302,첩해신어
10303,몽어유해
10304,부모은중경언해
10305,천로역정완
10306,무예제보언해
10307,대통령긴급조치위반피의자현상수배전단지민청학련사건
10308,부산에비상계엄선포신문기사동아
10309,경찰관김정길의업무일지
1030,표준음
10310,민주화추진협의회자료집
10311,민주화추진협의회기관지민주통신제2호
10312,신한민주당대통령직선제등민주개헌추진천만인서명운동충남지부현판식
10313,간이벽온방언해
10314,윤씨부인원정완
10315,정조어필한글편지첩완
10316,삼강행실도
10317,이한열열사추모사진첩
10318,민주헌법쟁취국민운동본부결의문
10319,국민운동창간호
1031,풀어쓰기
10320,노태우특별선언
10321,개헌시안협상합의사항
10322,금동광배
10323,연통모양토기
10324,습례국완
10325,홍패紅牌
10326,해금奚琴
10327,합죽선合竹扇
10328,토시
10329,태胎항아리
1032,품사
10330,키
10331,큰댕기
10332,목간
10333,임진왜란실개관
10334,동래읍성발굴환도군도및화살촉
10335,전쟁의발발과조선의대응-부산진순절도
10336,징비록
10337,히젠나고야성
10338,취발이
10339,초헌?軒
1033,품사론
10340,초립草笠
10341,청자침靑磁枕
10342,청구람승도靑邱覽勝圖
10343,천상열차분야지도天象列次分野之圖
10344,지석誌石
10345,지게
10346,임진왜란중의무기
10347,비격진천뢰및중완구
10348,제6회국민투표
10349,김영삼대통령휘호대도무문김대중대통령휘호사인여천-대선후보들포스터설명
1034,품사분류
10350,13대대통령선거포스터
10351,헌법재판소법
10352,5.18민주화운동등에관한특별법헌정질서파괴범죄의공소시효등에관한특례법
10353,죽부인竹夫人
10354,조씨삼형제초상趙氏三兄弟肖像
10355,절구
10356,적삼
10357,쟁기
10358,장생長생
10359,무자위
1035,품사전성
10360,목안木雁
10361,먹통
10362,제1회전국동시지방선거당선자현황
10363,G20정상회의배지
10364,서울올림픽성화봉
10365,2002한일월드컵공과응원도구
10366,전국금모으기운동수령증서
10367,국내최초64KDRAM세계최초64MDRAM
