단어,URL,설명
노이로제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/263094/MOV000269838_700X466.mp4,"심리적 원인에 의하여 정신 증상이나 신체 증상이 나타나는 병. 주로 두통ㆍ가슴 두근거림ㆍ불면 따위의 증상이 나타나며, 불안 신경증ㆍ히스테리ㆍ강박 신경증ㆍ공포증ㆍ망상 반응 따위가 있다."
피보호국,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289427/MOV000301791_700X466.mp4,"다른 국가의 보호 아래에 있는 국가. 보호 국가와 맺은 보호 조약에 따라, 그 국가에 의하여 내정을 비롯하여 특히 외교 관계에 제한을 받는다."
평등 선거제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289390/MOV000301584_700X466.mp4,각 선거인의 선거권의 가치가 평등하게 취급되는 선거 제도.
국권당,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288115/MOV000294922_700X466.mp4,국가의 권력이나 통치권을 확장하고 강화할 목적으로 모인 당파.
신호,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221019/1042435/MOV000360977_700X466.mp4,"일정한 부호, 표지, 소리, 몸짓 따위로 특정한 내용 또는 정보를 전달하거나 지시를 함. 또는 그렇게 하는 데 쓰는 부호."
핵 안보 정상 회의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289452/MOV000301925_700X466.mp4,2009년 4월 체코 프라하에서 오바마 미국 대통령이 핵 테러를 국제 안보의 최대 위협으로 지목하고 핵 안보 강화의 필요성을 강조하며 만든 회의.
합중국,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289442/MOV000301872_700X466.mp4,둘 이상의 국가나 주가 독립된 법 체계와 제도를 유지하면서 하나의 주권 밑에 연합하여 대외적으로 단일한 외교권을 행사하는 국가 형태.
교육법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221019/1042419/MOV000360967_700X466.mp4,"교육에 관한 기본 법률. 교육의 이념, 목적, 방침 및 의무 교육제 따위의 사항을 규정하던 법률로, 1998년 ‘교육 기본법’ 제정으로 폐지되었다."
국방부,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221019/1042311/MOV000360960_700X466.mp4,중앙 행정 기관의 하나. 국가 방위에 관련된 군정 및 사무를 맡아본다.
국법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1039930/MOV000360477_700X466.mp4,나라의 법률이나 법규.
개발 독재,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251970/MOV000265060_700X466.mp4,"국가 경제 개발의 기치 아래 자행되는 강권 정치. 개발 도상국에서 흔히 볼 수 있는 정치 형태로서, 인권 유린과 정적(政敵) 탄압이 자행되고 빈부의 격차가 확대되는 폐단이 있다."
국가 독점 자본,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288084/MOV000294777_700X466.mp4,국가 권력과 결합하여 사회 전체를 지배하는 정치적ㆍ경제적 기구로 발전한 독점 자본.
국민 소환제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288122/MOV000294956_700X466.mp4,선거 따위로 선출ㆍ임명한 국민의 대표 또는 공무원을 임기가 끝나기 전에 국민의 발의에 의하여 파면ㆍ소환하는 제도.
국방백서,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288132/MOV000295008_700X466.mp4,국토방위에 관련된 여러 현황과 정부의 방침을 국민에게 보고하기 위하여 만드는 문서.
펜타곤,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289387/MOV000301572_700X466.mp4,미국의 국방부를 달리 이르는 말. 청사(廳舍)가 오각형으로 생겼다고 하여서 붙은 이름이다.
피지의무,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289428/MOV000301796_700X466.mp4,중립국이 다른 나라에게 전쟁에 필요한 원조를 아니하여야 할 의무.
국민 투표,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288129/MOV000294990_700X466.mp4,"선거 이외에, 국가의 중요한 사항에 대하여 국민의 의견을 묻는 투표."
국가 고시,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1040309/MOV000360711_700X466.mp4,어떤 자격이나 면허를 주기 위하여 국가에서 시행하는 여러 가지 시험.
히스테리,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632333/MOV000242034_700X466.mp4,"정신적 원인에 의하여 일시적으로 일어나는 비정상적인 흥분 상태를 통틀어 이르는 말.,정신 신경증의 한 유형. 정신적 원인으로 운동 마비, 실성(失性), 경련 따위의 신체 증상이나 건망 따위의 정신 증상이 나타난다."
인쇄,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/271005/MOV000273034_700X466.mp4,"잉크를 사용하여 판면(版面)에 그려져 있는 글이나 그림 따위를 종이, 천 따위에 박아 냄."
개정,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221012/1038657/MOV000360163_700X466.mp4,법정을 열어 재판을 시작하는 일. 재판은 법정에서 하는 것이 원칙이지만 필요할 때 법원장의 권한으로 법원 외의 장소에서 행할 수 있다.
취재,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221018/1041799/MOV000360859_700X466.mp4,작품이나 기사에 필요한 재료나 제재(題材)를 조사하여 얻음.
국토해양부,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221012/1038691/MOV000360189_700X466.mp4,국토 자원의 통합 관리 및 항만 등에 관한 업무를 맡아보던 중앙 행정 기관. 2008년 2월 건설 교통부와 해양 수산부 일부 등이 통합되어 신설되었고 2013년 3월 국토 교통부로 이름이 바뀌었다.
교육과학기술부,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221012/1038749/MOV000360214_700X466.mp4,"교육 및 국가 인적 자원 개발, 기초 과학 분야에 관한 사무를 맡아보던 중앙 행정 기관. 2008년 2월 교육 인적 자원부와 과학 기술부 일부가 통합되어 신설되었다가 2013년 3월 교육부로 이름이 바뀌었다."
국민 소환,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288120/MOV000294947_700X466.mp4,"선거 따위로 선출ㆍ임명한 국민의 대표 또는 공무원을 임기가 끝나기 전에 국민의 발의에 의하여 파면ㆍ소환하는 일. 미국, 스위스, 일본 따위에서 부분적으로 채택하고 있다."
