단어,URL,설명
견제 균형의 원리,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251979/MOV000265108_700X466.mp4,국가의 여러 권력을 서로 대립하게 하고 서로를 억제하게 하여 하나의 권력이 지배하는 것을 막으려는 통치 조직의 원리.
결승지정,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251980/MOV000265114_700X466.mp4,고대 중국의 정치를 이르는 말. 문자가 없던 때이므로 새끼로 매듭을 지어 일의 대소(大小)를 표시한 데서 유래한다.
결혼 정책,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251982/MOV000265124_700X466.mp4,"다른 계층이나 종족 사이의 감정, 사상 따위를 융화시키거나 혈통을 개량하기 위하여 국가가 이들 사이의 결혼을 장려하는 정책."
경제 개발 오 개년 계획,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251984/MOV000265132_700X466.mp4,"우리나라에서 국민 경제를 계획적으로 발전시키기 위하여 5년 단위로 시행한 경제 계획. 제1차(1962~1966), 제2차(1967~1971), 제3차(1972~1976), 제4차(1977~1981)까지 시행되었다."
경제 민주화,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251988/MOV000265155_700X466.mp4,경제 활동이 민주적으로 이루어지도록 개혁하는 일. 자유 경쟁의 장점을 유지하면서 노동 계급을 보호하여 그들의 기본적인 인권을 옹호한다.
경제 사회 발전 오 개년 계획,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251991/MOV000265169_700X466.mp4,"‘경제 개발 오 개년 계획’을 제5차부터 바꾼 명칭. 제5차(1982~1986), 제6차(1987~1991), 제7차(1992~1996)까지 시행되었다."
경제 외교,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251992/MOV000265176_700X466.mp4,경제 문제를 중시하고 펼치는 외교.
경찰국가,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251995/MOV000265187_700X466.mp4,경찰권을 마음대로 행사하여 국민 생활을 감시ㆍ통제하는 국가 형태. ≒경찰국.
경찰 통치,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251997/MOV000265194_700X466.mp4,경찰이 폭압을 기본으로 하여 실시하는 통치.
계급 선거,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251998/MOV000265197_700X466.mp4,"신분, 재산, 교육, 납세 따위의 정도에 따라 선거권에 차등을 두는 선거. 복수 투표 선거, 등급 선거 따위가 있다."
고도 국방 국가,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252001/MOV000265213_700X466.mp4,국가의 방위를 제일가는 목표로 설정한 국가. 나치스의 국가 따위를 이른다.
고등 판무관,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252002/MOV000265218_700X466.mp4,"주권국에서 피보호국ㆍ종속국ㆍ피점령국에, 혹은 후자로부터 전자에 파견하는 상임 사절. 특히 조약 체결이나 외교 교섭 따위의 직무를 수행하며, 대개 외교 사절에 준하는 특권을 갖는다.,영연방(英聯邦)을 구성하는 여러 나라가 서로 파견하고 받아들이는 대표."
고립 정책,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252003/MOV000265225_700X466.mp4,"다른 나라와 동맹 관계를 맺지 아니하고, 다른 나라의 일에 간섭하지 아니하며 고립을 지키려는 외교 정책."
고미가 정책,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252007/MOV000265247_700X466.mp4,양곡의 수매 가격을 올리는 정부의 정책. 농촌 경제의 안정을 꾀하고 농민의 생산 의욕을 돋우어 양곡의 자급자족을 이루려는 데에 목적이 있다.
공개 선거,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252010/MOV000265263_700X466.mp4,"공개 투표에 의한 선거. 또는 그런 방식. 흔히 거수, 기립, 기명, 호명 따위의 투표 방식으로 한다."
공격 동맹,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252012/MOV000265272_700X466.mp4,둘 이상의 나라가 함께 다른 나라를 공격하기 위하여 맺은 동맹.
공동 강령,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252013/MOV000265275_700X466.mp4,둘 이상의 정당이나 사회단체가 정치적인 문제에 대하여 공동으로 함께 내놓는 정책이나 방침 따위의 기본 계획.
공동 선언,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252015/MOV000265282_700X466.mp4,"서로 다른 나라들이 함께 합의한 사항을 널리 알리는 일. 또는 그 내용을 담은 외교 문서. 국제적 약속인 조약과 같은 효력을 발생하는 것과, 그런 효력을 가지지 아니하고 합의 사항에 대한 설명의 효력만을 가지는 것이 있다. "
공동 성명,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252016/MOV000265285_700X466.mp4,서로 다른 나라들이 목적과 관심을 같이하는 일에 대하여 책임과 의무를 같이할 것을 약속하고 그 합의 경과나 결과를 공개적으로 발표함. 또는 그 내용을 기록한 외교 문서.
공동 통치,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252018/MOV000265293_700X466.mp4,"두 나라 이상이 한 나라를 공동으로 지배하고 다스리는 일.,두 사람 이상이 함께 최고 통치권자가 되어 한 나라를 다스리는 통치 방식."
공산주의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252022/MOV000265310_700X466.mp4,모든 재산과 생산 수단을 사회 전체의 소유로 하며 계급의 차이를 없애는 것을 내세우는 정치 이념.
공수 동맹,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252024/MOV000265320_700X466.mp4,두 나라 이상이 공동의 병력으로 제삼국을 공격하거나 상대편의 공격에 대하여 공동으로 방어하기 위하여 서로 간에 맺은 동맹 조약.
공중 납치 방지 지침,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252028/MOV000265339_700X466.mp4,"1979년에 도쿄 경제 정상 회담에서 발표된, 공중 납치 방지에 관한 조치. 항공기 공중 납치범을 보호하는 나라에는 민간 항공기의 취항을 거부한다는 것 따위를 내용으로 한다."
공천,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252030/MOV000265353_700X466.mp4,공인된 정당에서 선거에 출마할 당원을 공식적으로 추천하는 일.
공천권자,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252031/MOV000265357_700X466.mp4,정당에서 자기 당의 입후보자를 공식적으로 추천하는 권한을 가진 사람.
공포 시대,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252035/MOV000265377_700X466.mp4,악정(惡政)으로 생명과 재산에 위협을 받아 국민이 불안을 느끼는 시대.
공포의 균형,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252036/MOV000265381_700X466.mp4,"제이 차 세계 대전 이후, 동서 양 진영의 공존이 단순히 힘의 균형에 따른 결과가 아니라 서로 핵무기를 보유하고 있는 것에 대한 두려움으로 유지되고 있는 상태."
공화국,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252039/MOV000265393_700X466.mp4,공화 정치를 하는 나라. 주권이 국민에게 있는 나라를 이른다. ≒공국.
공화 정체,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252041/MOV000265400_700X466.mp4,공화 정치를 하는 정치 체제.
공화 정치,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252042/MOV000265405_700X466.mp4,"국민이 선출한 대표자 또는 대표 기관의 의사에 따라 주권이 행사되는 정치. 주권이 한 사람에 의하여 행사되는 것이 아니므로 과두 정치, 귀족 정치도 여기에 포함되나, 근세에 와서는 민주 정치만을 이른다."
공화주의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252044/MOV000265413_700X466.mp4,공화 제도를 주장하거나 실현하려는 정치적인 태도.
공회,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/252045/MOV000265417_700X466.mp4,국제 문제를 해결하기 위하여 특별히 열리는 국제회의. 1878년의 베를린 공회 따위가 있다.
관료 정치,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288054/MOV000294631_700X466.mp4,"의회나 정당에 기초를 두지 않고 관료 세력이 행하는 정치.,독선적ㆍ비밀적ㆍ형식적ㆍ비민주적ㆍ권위주의적 정치를 통틀어 이르는 말."
관료제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288055/MOV000294637_700X466.mp4,특권을 가진 관료가 국가 권력을 장악하고 지배하는 정치 제도. 또는 그런 정치. 권위적ㆍ획일적ㆍ형식적 경향을 지닌 제도나 기구를 비판적으로 이르는 말이다.
관료 행정,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288056/MOV000294643_700X466.mp4,관료들이 획일적ㆍ독단적으로 행하는 행정.
관선,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288057/MOV000294649_700X466.mp4,"예전에, 선거를 통하여 뽑는 기구의 성원 가운데 일부를 당국에서 직접 임명하던 일."
관치제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290476/MOV000294657_700X466.mp4,국가 기관이 직접 맡아 하는 행정의 제도.
광주 민주화 운동,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290478/MOV000294674_700X466.mp4,‘오일팔 민주화 운동’의 전 용어.
교섭 단체,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288067/MOV000294698_700X466.mp4,"국회에서, 단체 교섭회에 참가하여 의사 진행에 관한 중요한 안건을 협의하기 위하여 의원들이 구성하는 단체. ≒원내 교섭 단체."
교통권,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288068/MOV000294702_700X466.mp4,국가가 다른 국가와 외교 관계를 유지하기 위하여 다른 나라 국민의 거주ㆍ통상을 다른 나라에 허가하는 권리.
구두 공천,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288070/MOV000294709_700X466.mp4,"선거할 때, 입후보자를 말로 추천하는 일. 또는 그 추천."
구두 투표제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288071/MOV000294714_700X466.mp4,"구두로 투표하는 제도. 영국과 미국의 여러 주에서 시행하였으나, 투표자의 자유를 구속하는 일이 많아 폐지하였다."
구상서,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288073/MOV000294724_700X466.mp4,"외교 문서 형식의 하나. 상대국과의 문제 또는 상대국과 협의한 사항을 제기할 때, 말로 직접 하지 않고 기록한 문서로 제시한다. 자국과 상대국을 모두 제삼 인칭으로 표기하고, 수신인의 관직과 성명이 기재되지 않으며 서명도 하지 않는 것이 관례이다."
구조 개혁론,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288075/MOV000294735_700X466.mp4,"자본주의 체제를 부분적으로 개혁함으로써 사회주의를 점진적으로 실현하려는 현대 사회주의 혁명 이론. 노동자의 완전 고용, 사회 보장, 중요 산업의 국유화, 노동자의 경영 관리 참여 따위를 주요 내용으로 하며, 1956년에 이탈리아의 톨리아티가 제창한 이래 유럽과 일본의 사회주의 운동에 영향을 주었다."
구주 연맹,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288077/MOV000294750_700X466.mp4,프랑스의 외상(外相) 브리앙이 1930년에 27개국 정부에 발송한 유럽의 협력안. 제일 차 세계 대전 후에 유럽의 평화를 위협하는 정치ㆍ경제ㆍ사회적 위기에 공동으로 대처하기 위하여 제창하였다.
국가 관리,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288079/MOV000294756_700X466.mp4,"사회주의 정책의 하나로, 국가 기관이 사기업(私企業)이나 그 밖의 어떤 단체의 경영 또는 운영에 개입하여 직접적으로 관리ㆍ통제하는 일."
코미스코,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289325/MOV000301247_700X466.mp4,
코민포름,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289326/MOV000301255_700X466.mp4,
콘타도라 그룹,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289327/MOV000301260_700X466.mp4,"중앙아메리카의 평화를 목적으로 1983년 파나마의 콘타도라 섬에서 외상 회담을 가진 멕시코, 파나마, 콜롬비아, 베네수엘라의 네 나라를 통틀어 이르는 말."
콜롬보 그룹,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289329/MOV000301270_700X466.mp4,"1954년 4월 콜롬보에서, 냉전 체제하에서 아시아의 평화와 안전을 추구할 목적으로 정상 회담을 개최한 인도, 파키스탄, 미얀마, 인도네시아, 스리랑카의 5개국을 통틀어 이르는 말."
크렘리놀로지,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289330/MOV000301273_700X466.mp4,
크로스보팅,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289332/MOV000301284_700X466.mp4,
크루아 드 푀,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289333/MOV000301290_700X466.mp4,"프랑스의 우익 정치 단체. ‘불의 십자가’라는 뜻으로, 1927년 제일 차 세계 대전 때 십자 훈장을 받은 재향 군인으로 조직ㆍ창설되었으며 1937년에 해산되었다."
크메르 루주,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289334/MOV000301296_700X466.mp4,1960년대에 프랑스에서 교육을 받은 마르크스주의자들이 결성한 캄보디아의 혁명파 조직을 통틀어 이르는 말.
타협 정치,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289335/MOV000301302_700X466.mp4,"대화와 협상에 의한 정치.,정당의 배경이 없거나 힘이 약한 행정부가 유력한 어느 정당과 적당한 조건으로 타협하여 행하는 정치."
태평양 문제 조사회,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289338/MOV000301317_700X466.mp4,
태평양 민주 동맹,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289339/MOV000301323_700X466.mp4,
태평양 방위 동맹,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289340/MOV000301329_700X466.mp4,
태평양 정치 경제권,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289343/MOV000301348_700X466.mp4,"21세기에 중국, 일본, 미국, 멕시코, 오스트레일리아 등 환태평양 국가가 세계를 주도할 것이라고 하는 정치ㆍ경제권. 미국의 국제 정치 전문가들이 주장하였다."
태평양 조약 기구,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289344/MOV000301355_700X466.mp4,
테제,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289346/MOV000301363_700X466.mp4,정치적ㆍ사회적 운동의 기본 방침이 되는 강령. ≒운동 방침.
테헤란 회담,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289347/MOV000301366_700X466.mp4,"제이 차 세계 대전 중인 1943년에 미국 대통령 루스벨트, 영국 수상 처칠, 소련 수상 스탈린이 테헤란에서 행한 회담. 미ㆍ영ㆍ소 세 나라의 공동 작전에 관한 선언을 발표하였으며, 프랑스 상륙 작전과 소련의 대일전(對日戰) 참가 따위를 결정하였다."
토지 할양,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289350/MOV000301381_700X466.mp4,
통교 조약,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289351/MOV000301386_700X466.mp4,
통일 국가,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289355/MOV000301403_700X466.mp4,
통치 기관,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289356/MOV000301406_700X466.mp4,
트로츠키주의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289358/MOV000301413_700X466.mp4,"레닌ㆍ스탈린의 일국(一國) 사회주의 건설 이론에 반대하여 트로츠키가 내세운 사회주의 혁명 이론. 혁명의 규모를 전 세계적 차원으로 확대하지 않으면 사회주의 혁명은 성공할 수 없다고 주장하였다.,공산당 주류의 방침에 반대하고 독자적인 운동을 전개하는 극좌의 전위적인 사상. 또는 그 분파."
트루먼주의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289359/MOV000301420_700X466.mp4,1947년에 미국의 트루먼 대통령이 의회에서 그리스ㆍ터키에 대한 군사 원조를 요청할 때 선언한 외교 정책의 새로운 원칙. 자유주의 진영에 대한 공산주의 세력의 위협에 힘으로 대항한다는 의사를 명백히 하여 냉전(冷戰)을 공식화하였다.
특별 위원,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289362/MOV000301433_700X466.mp4,
특수 조약,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289363/MOV000301436_700X466.mp4,
파리 협정,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289367/MOV000301460_700X466.mp4,"1954년에 파리에서 체결된 협정. 미국ㆍ프랑스ㆍ이탈리아 등 서방 14개국이 서독의 주권 회복, 재군비, 나토(NATO) 가입 승인 따위의 내용을 협정하였다.,베트남에서의 정전(停戰)과 평화를 확보하기 위하여 1973년 미국, 남ㆍ북베트남, 남베트남 임시 혁명 정부 사이에 합의된 협정."
판문점 회담,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289370/MOV000301480_700X466.mp4,6ㆍ25 전쟁을 끝내기 위하여 1951년 10월에 판문점에서 열린 유엔군 측과 북한군 측 사이의 휴전 회담. 1951년 7월에 열렸던 개성 회담에 뒤이어 재개한 것으로 1953년 7월 27일 정전 협정을 맺었다.
팔레스타인 게릴라,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289371/MOV000301486_700X466.mp4,"팔레스타인 땅을 이스라엘로부터 탈환하는 것을 목적으로 하는 반(反)이스라엘 테러 활동 집단을 통틀어 이르는 말. 여러 분파가 있으며 주로 팔레스타인 난민으로 구성되어 있다. 팔레스타인 해방 기구, 팔레스타인 해방 인민 전선, 알파타 따위의 조직이 있다."
팔레스타인 민족 평의회,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289374/MOV000301499_700X466.mp4,
팔레스타인 해방 기구,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289375/MOV000301507_700X466.mp4,
팔레스타인 해방 운동,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289376/MOV000301511_700X466.mp4,
팔메 위원회,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289378/MOV000301521_700X466.mp4,
팔팔라인,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289379/MOV000301526_700X466.mp4,"남한과 북한 당국 간의 직통 전화. 1985년에 남한 측의 제의에 북한 측이 동의하여 설치된 것으로, 남북한의 비밀 접촉 창구 역할을 한다."
팽창 정책,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289381/MOV000301537_700X466.mp4,다른 나라를 정치적ㆍ경제적으로 예속하여 영토나 세력 또는 상품 시장을 넓히려는 정책.
페레스트로이카,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289383/MOV000301546_700X466.mp4,"1986년 이후 소련의 고르바초프 정권이 추진하였던 정책의 기본 노선. 국내적으로는 민주화ㆍ자유화를, 외교적으로는 긴장 완화를 기조로 한다."
페르시아 만 협력 위원회,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289384/MOV000301554_700X466.mp4,"페르시아 만에 인접하여 있는 보수 왕국들이 1981년에 이란 회교도 혁명의 확산을 막기 위하여 창설한 경제ㆍ안전 보장 동맹. 사우디아라비아, 쿠웨이트, 바레인, 카타르, 오만, 아랍에미리트 등 6개국이 가맹하였다."
페스 헌장,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289385/MOV000301563_700X466.mp4,"1982년에 모로코의 페스에서 열린 아랍 수뇌 회의에서 채택된 중동 평화에 관한 제안. 팔레스타인 독립 국가의 건설이 주 내용이며, 제삼 차 중동 전쟁에 의한 점령지로부터의 이스라엘 철퇴 및 유대 인의 입식지(入植地) 전폐, 유엔 안전 보장 이사회에 의한 중동 모든 국가의 안전 보장 따위를 내용으로 하고 있으나, 이스라엘에 의하여 거부당하였다."
페어 딜,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289386/MOV000301568_700X466.mp4,"미국의 트루먼 대통령이 뉴딜 정책을 계승하여 표방한 국내외 정책. 국내적으로는 사회 보장ㆍ노동권의 확립ㆍ경제 통제ㆍ시민권 확대 따위를, 대외적으로는 냉전 체제하에서 미국의 지도적 지위 확보를 내세웠다."
평등 선거,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289389/MOV000301581_700X466.mp4,
평화 공세,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289393/MOV000301600_700X466.mp4,
평화 공존,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289394/MOV000301606_700X466.mp4,
평화 기구,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289395/MOV000301611_700X466.mp4,국가 간의 평화 유지를 위하여 조직된 기구. 국제 연합이 그 대표적인 예이다.
평화 오 원칙,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289398/MOV000301624_700X466.mp4,
평화주의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289400/MOV000301636_700X466.mp4,평화를 적극 주장하는 태도나 운동.
평화 통일,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289402/MOV000301646_700X466.mp4,
평화 통일 외교 정책,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289403/MOV000301650_700X466.mp4,
평화 혁명,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289404/MOV000301659_700X466.mp4,
포츠담 선언,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289407/MOV000301675_700X466.mp4,
포츠담 협정,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289408/MOV000301680_700X466.mp4,
폭력주의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289411/MOV000301698_700X466.mp4,
폭력 혁명,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289412/MOV000301703_700X466.mp4,
폴리사리오 해방 전선,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289413/MOV000301707_700X466.mp4,
폴리티컬 머신,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289417/MOV000301734_700X466.mp4,
푸에블로호 피랍 사건,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289418/MOV000301741_700X466.mp4,
프랑스 공동체,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289421/MOV000301763_700X466.mp4,
프랙션,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289423/MOV000301770_700X466.mp4,
프랙션 활동,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289424/MOV000301774_700X466.mp4,
프레임 업,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289425/MOV000301779_700X466.mp4,
확정 일자,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/255979/MOV000266884_700X466.mp4,증서가 작성된 일자에 대하여 완전한 증거력이 있다고 법률에서 인정하는 일자.
회훈,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289486/MOV000302095_700X466.mp4,해외 공관의 청훈(請訓)에 대하여 본국 정부가 회답 훈령을 내림. 또는 그 훈령.
회교 민주주의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289483/MOV000302076_700X466.mp4,"이슬람교의 교의(敎義)와 민주주의의 원칙이 모순되지 않는다고 보고 그 공존과 양립을 내세우는 정치사상. 유일신 앞에서 모든 인간은 평등하다는 마호메트의 설을 바탕으로 하며, 1920년대 이후 인도의 이슬람교 지도자들이 많이 주장하였다."
환경부,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289478/MOV000302053_700X466.mp4,중앙 행정 기관의 하나. 자연환경 및 생활 환경의 보전과 환경 오염 방지에 관한 사무를 맡아본다.
혼합 정체,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289476/MOV000302044_700X466.mp4,"군주제, 귀족제, 민주제 각각의 장점을 두루 채용한 정치 체제. 고대 로마의 집정관, 원로원, 민회 따위의 상호 억제에 의한 통치를 폴리비오스가 이론적으로 정식화한 것이며 근대 권력 분립론의 사상적 원류가 되었다."
현대 수정주의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289471/MOV000302019_700X466.mp4,제이 차 세계 대전 이후 국제 공산주의 운동과 노동 운동 안에 나타난 수정주의. 노동 계급과 자본가 계급 사이의 계급적 대립과 투쟁을 부인하고 계급 간의 협조를 주장한다.
혁신 정당,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289469/MOV000302009_700X466.mp4,묵은 정치ㆍ경제 체제를 근본적으로 고쳐서 새로운 사회를 세우려는 정당.
혁명 정부,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289467/MOV000301999_700X466.mp4,혁명을 일으킨 세력이 구성한 정부.
혁명 운동,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289464/MOV000301988_700X466.mp4,사회 혁명의 목적을 달성하기 위하여 혁명 사상을 고취하고 대중을 움직이게 하는 모든 행위.
혁명당,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/289462/MOV000301979_700X466.mp4,혁명을 일으킬 목적으로 조직한 정당.
표준음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290359/MOV000288761_700X466.mp4,어떤 말의 표준이 되는 발음. 
풀어쓰기,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290360/MOV000288764_700X466.mp4,
품사,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286654/MOV000288767_700X466.mp4,
품사론,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286655/MOV000288770_700X466.mp4,
품사 분류,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286656/MOV000288774_700X466.mp4,
품사 전성,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286657/MOV000288778_700X466.mp4,
품사 전성법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286658/MOV000288782_700X466.mp4,
피동,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286660/MOV000288791_700X466.mp4,주체가 다른 힘에 의하여 움직이는 동사의 성질. 입음.
피동문,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286661/MOV000288794_700X466.mp4,
피동법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286662/MOV000288798_700X466.mp4,
피동 표현,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286665/MOV000288812_700X466.mp4,주어가 다른 주체에 의해서 동작을 하게 되는 표현.
피동형,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286666/MOV000288816_700X466.mp4,
ㅎ[히읗],http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290361/MOV000288825_700X466.mp4,한글 자모의 열넷째 글자.
하고[2],http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290363/MOV000288833_700X466.mp4,((체언 뒤에 붙어)) (구어체로) 둘 이상의 사물을 같은 자격으로 이어 주는 접속 조사. 
하며,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290364/MOV000288835_700X466.mp4,
하소서체,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286673/MOV000288837_700X466.mp4,"상대 높임법의 하나. 상대편을 아주 높이는 종결형으로, 현대 국어의 구어에서는 거의 쓰지 않는다. ‘하시옵소서’, ‘가사이다’ 따위이다. 아주 높임."
