NO,단어,URL
55,농림부,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221020/1042616/MOV000361000_700X466.mp4
56,교수형,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221013/1039506/MOV000360420_700X466.mp4
57,국제 연합기,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288149/MOV000295091_700X466.mp4
58,국제 연합 기술 원조처,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/288150/MOV000295096_700X466.mp4
59,끊다,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221013/1039274/MOV000360301_700X466.mp4
60,음성 기관,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286283/MOV000287388_700X466.mp4
61,음성 기호,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286284/MOV000287393_700X466.mp4
62,음성 모음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286285/MOV000287398_700X466.mp4
63,음성 언어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286286/MOV000287401_700X466.mp4
64,음성학,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286287/MOV000287404_700X466.mp4
65,-음세,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286288/MOV000287407_700X466.mp4
66,음소 문자,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286290/MOV000287413_700X466.mp4
67,음소적 표기법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286291/MOV000287418_700X466.mp4
68,음운,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286292/MOV000287426_700X466.mp4
69,음운 교체,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286293/MOV000287430_700X466.mp4
70,음운 대응,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286295/MOV000287441_700X466.mp4
71,음운 대응 법칙,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286296/MOV000287446_700X466.mp4
72,음운 도치,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286297/MOV000287453_700X466.mp4
73,음운론,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286299/MOV000287464_700X466.mp4
74,음운 문자,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286300/MOV000287469_700X466.mp4
75,음운 변화,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286303/MOV000287485_700X466.mp4
76,음운 변동,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286302/MOV000287480_700X466.mp4
77,음운학,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286306/MOV000287500_700X466.mp4
78,음의 생략,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286307/MOV000287505_700X466.mp4
